"INDICATOR","HFA_43"

"HFA_43","Life expectancy at birth (years), by sex"

"UNIT_TYPE","Unit"
"YEARS","years"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"COUNT","Count"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1987","72.18359684"
"ALB","","ALL","1988","72.53743017"
"ALB","","ALL","1989","71.97055306"
"ALB","","ALL","1990","72.61"
"ALB","","ALL","1992","73.22324324"
"ALB","","ALL","1993","73.7432364"
"ALB","","ALL","1994","75.68126994"
"ALB","","ALL","1995","75.02205063"
"ALB","","ALL","1996","74.79169316"
"ALB","","ALL","1997","75.36025087"
"ALB","","ALL","1998","75.24938999"
"ALB","","ALL","1999","76.31828969"
"ALB","","ALL","2000","75.09841008"
"ALB","","ALL","2001","77.17589524"
"ALB","","ALL","2002","76.39862763"
"ALB","","ALL","2003","75.77057532"
"ALB","","ALL","2004","76.239003"
"ALB","","ALL","2005","76.83473824"
"ALB","","ALL","2006","77.6692838"
"ALB","","ALL","2007","79.68977309"
"ALB","","ALL","2008","78.8978135"
"ALB","","ALL","2009","79.63670835"
"AND","","ALL","2006","81.5"
"ARM","","ALL","1970","73.03322981"
"ARM","","ALL","1971","74.25807453"
"ARM","","ALL","1972","73.24565217"
"ARM","","ALL","1973","73.33322981"
"ARM","","ALL","1974","73.44565217"
"ARM","","ALL","1975","72.5863354"
"ARM","","ALL","1976","72.68012422"
"ARM","","ALL","1977","72.99254658"
"ARM","","ALL","1978","72.63944099"
"ARM","","ALL","1979","72.53944099"
"ARM","","ALL","1980","72.89254658"
"ARM","","ALL","1981","73.83275763"
"ARM","","ALL","1982","73.39303759"
"ARM","","ALL","1983","72.82701863"
"ARM","","ALL","1984","72.63944099"
"ARM","","ALL","1985","72.57037857"
"ARM","","ALL","1986","73.10085127"
"ARM","","ALL","1987","73.0667115"
"ARM","","ALL","1988","60.97307034"
"ARM","","ALL","1989","72.25022556"
"ARM","","ALL","1990","72.07957035"
"ARM","","ALL","1991","72.58166259"
"ARM","","ALL","1992","71.5408562"
"ARM","","ALL","1993","71.15291176"
"ARM","","ALL","1994","72.52354212"
"ARM","","ALL","1995","72.99269851"
"ARM","","ALL","1996","73.21096923"
"ARM","","ALL","1997","74.080055"
"ARM","","ALL","1998","74.91429211"
"ARM","","ALL","1999","74.83779282"
"ARM","","ALL","2000","75.73467882"
