"INDICATOR","HFA_566"

"HFA_566","Total health expenditure as % of GDP"

"UNIT_TYPE","Unit"
"PERCENT","%"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1987","2.95"
"ALB","","ALL","1988","3.11"
"ALB","","ALL","1989","2.92"
"ALB","","ALL","1990","3.32"
"ALB","","ALL","1991","4.82"
"ALB","","ALL","1992","3.36"
"ALB","","ALL","1993","3.02"
"ALB","","ALL","1994","2.84"
"ALB","","ALL","1995","2.38"
"ALB","","ALL","1996","2.16"
"ALB","","ALL","1997","2.11"
"ALB","","ALL","1998","1.88"
"ALB","","ALL","1999","2.31"
"ALB","","ALL","2000","2"
"ALB","","ALL","2001","2.1"
"ALB","","ALL","2002","2.2"
"ALB","","ALL","2003","2.3"
"ALB","","ALL","2004","2.9"
"ALB","","ALL","2005","3.1"
"ALB","","ALL","2006","2"
"ALB","","ALL","2009","5.41"
"ALB","","ALL","2010","5.2"
"ALB","","ALL","2011","5.06"
"ALB","","ALL","2012","5.9"
"ALB","","ALL","2013","6.2"
"ALB","","ALL","2014","6"
"AND","","ALL","2013","5.16"
"AND","","ALL","2014","5.18"
"AND","","ALL","2015","5.4"
"AND","","ALL","2016","5.4"
"AND","","ALL","2017","5.69"
"AND","","ALL","2018","5.82"
"ARM","","ALL","1991","4.2"
"ARM","","ALL","1993","4.2"
"AUT","","ALL","1970","5.2"
"AUT","","ALL","1971","5.2"
"AUT","","ALL","1972","5.1"
"AUT","","ALL","1973","5.3"
"AUT","","ALL","1974","5.4"
"AUT","","ALL","1975","7"
"AUT","","ALL","1976","7.2"
"AUT","","ALL","1977","7.1"
"AUT","","ALL","1978","7.4"
"AUT","","ALL","1979","7.4"
"AUT","","ALL","1980","7.5"
"AUT","","ALL","1981","6.6"
"AUT","","ALL","1982","6.5"
"AUT","","ALL","1983","6.3"
"AUT","","ALL","1984","6.4"
"AUT","","ALL","1985","6.4"
"AUT","","ALL","1986","6.7"
"AUT","","ALL","1987","6.8"
"AUT","","ALL","1988","6.8"
"AUT","","ALL","1989","7"
"AUT","","ALL","1990","8.4"
