"INDICATOR","HFA_446"

"HFA_446","Average amount of fruits and vegetables available per person per year (kg)"

"UNIT_TYPE","Unit"
"KG_PPERS_PYEAR","kilograms per person per year"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1961","128.8"
"ALB","","ALL","1962","121.44"
"ALB","","ALL","1963","115.27"
"ALB","","ALL","1964","127.38"
"ALB","","ALL","1965","120.52"
"ALB","","ALL","1966","104.88"
"ALB","","ALL","1967","94.52"
"ALB","","ALL","1968","97.69"
"ALB","","ALL","1969","103.86"
"ALB","","ALL","1970","124.14"
"ALB","","ALL","1971","112.7"
"ALB","","ALL","1972","115.86"
"ALB","","ALL","1973","118.04"
"ALB","","ALL","1974","118.42"
"ALB","","ALL","1975","111.78"
"ALB","","ALL","1976","127.64"
"ALB","","ALL","1977","127.25"
"ALB","","ALL","1978","131.84"
"ALB","","ALL","1979","125.82"
"ALB","","ALL","1980","115.17"
"ALB","","ALL","1981","121.39"
"ALB","","ALL","1982","131.72"
"ALB","","ALL","1983","137.43"
"ALB","","ALL","1984","122.08"
"ALB","","ALL","1985","109.01"
"ALB","","ALL","1986","113.36"
"ALB","","ALL","1987","105.39"
"ALB","","ALL","1988","86.61"
"ALB","","ALL","1989","106.55"
"ALB","","ALL","1990","111.67"
"ALB","","ALL","1991","114.32"
"ALB","","ALL","1992","149.48"
"ALB","","ALL","1993","182.56"
"ALB","","ALL","1994","194.85"
"ALB","","ALL","1995","183.6"
"ALB","","ALL","1996","211.47"
"ALB","","ALL","1997","190.31"
"ALB","","ALL","1998","210.85"
"ALB","","ALL","1999","212.01"
"ALB","","ALL","2000","227.3"
"ALB","","ALL","2001","246.32"
"ALB","","ALL","2002","259.42"
"ALB","","ALL","2003","277.22"
"ALB","","ALL","2004","278.88"
"ALB","","ALL","2005","288.85"
"ALB","","ALL","2006","301.08"
"ALB","","ALL","2007","304.29"
"ALB","","ALL","2008","325"
"ALB","","ALL","2009","327.54"
"ALB","","ALL","2010","369.78"
"ALB","","ALL","2011","384.39"
"ALB","","ALL","2012","391.46"
"ALB","","ALL","2013","387.09"
"ARM","","ALL","1992","193.79"
"ARM","","ALL","1993","136.38"
"ARM","","ALL","1994","185.47"
"ARM","","ALL","1995","196.69"
"ARM","","ALL","1996","201.82"
"ARM","","ALL","1997","167.94"
"ARM","","ALL","1998","174.59"
"ARM","","ALL","1999","179.15"
"ARM","","ALL","2000","168.56"
"ARM","","ALL","2001","172.68"
"ARM","","ALL","2002","203.88"
"ARM","","ALL","2003","228.47"
"ARM","","ALL","2004","264.71"
"ARM","","ALL","2005","339.04"
"ARM","","ALL","2006","387.62"
"ARM","","ALL","2007","420.61"
"ARM","","ALL","2008","437.14"
"ARM","","ALL","2009","442.32"
"ARM","","ALL","2010","356.92"
"ARM","","ALL","2011","389.96"
"ARM","","ALL","2012","459.96"
"ARM","","ALL","2013","459.76"
"AUT","","ALL","1961","200.63"
"AUT","","ALL","1962","180.36"
"AUT","","ALL","1963","201.85"
"AUT","","ALL","1964","198.13"
"AUT","","ALL","1965","176.97"
"AUT","","ALL","1966","191.96"
"AUT","","ALL","1967","182.76"
"AUT","","ALL","1968","185.68"
"AUT","","ALL","1969","181.11"
"AUT","","ALL","1970","181.74"
"AUT","","ALL","1971","180.52"
"AUT","","ALL","1972","172.82"
"AUT","","ALL","1973","195.94"
"AUT","","ALL","1974","183.85"
"AUT","","ALL","1975","199.59"
"AUT","","ALL","1976","189.28"
"AUT","","ALL","1977","193.8"
"AUT","","ALL","1978","192.64"
"AUT","","ALL","1979","212.92"
"AUT","","ALL","1980","210.32"
"AUT","","ALL","1981","195.52"
"AUT","","ALL","1982","225.05"
"AUT","","ALL","1983","177.46"
"AUT","","ALL","1984","191.14"
"AUT","","ALL","1985","181.15"
"AUT","","ALL","1986","203.39"
"AUT","","ALL","1987","194.3"
"AUT","","ALL","1988","207.48"
"AUT","","ALL","1989","216.46"
"AUT","","ALL","1990","208.24"
"AUT","","ALL","1991","209.1"
"AUT","","ALL","1992","212.51"
"AUT","","ALL","1993","231.78"
"AUT","","ALL","1994","222.75"
"AUT","","ALL","1995","200.16"
"AUT","","ALL","1996","181.51"
"AUT","","ALL","1997","200.73"
"AUT","","ALL","1998","165.32"
"AUT","","ALL","1999","205.56"
"AUT","","ALL","2000","209.26"
"AUT","","ALL","2001","224.27"
"AUT","","ALL","2002","211.71"
"AUT","","ALL","2003","231.58"
"AUT","","ALL","2004","243.2"
"AUT","","ALL","2005","236.85"
"AUT","","ALL","2006","238.95"
"AUT","","ALL","2007","245.56"
"AUT","","ALL","2008","258.5"
"AUT","","ALL","2009","231.75"
"AUT","","ALL","2010","236.41"
"AUT","","ALL","2011","265.13"
"AUT","","ALL","2012","260.24"
"AUT","","ALL","2013","257.84"
"AZE","","ALL","1992","143.84"
"AZE","","ALL","1993","134.43"
"AZE","","ALL","1994","135.82"
"AZE","","ALL","1995","139.4"
"AZE","","ALL","1996","149.36"
"AZE","","ALL","1997","116.36"
"AZE","","ALL","1998","127.46"
"AZE","","ALL","1999","153.85"
"AZE","","ALL","2000","157.49"
"AZE","","ALL","2001","179"
"AZE","","ALL","2002","192.72"
"AZE","","ALL","2003","206.46"
"AZE","","ALL","2004","196.56"
"AZE","","ALL","2005","225.06"
"AZE","","ALL","2006","232.76"
"AZE","","ALL","2007","234.4"
"AZE","","ALL","2008","225.08"
"AZE","","ALL","2009","226.43"
"AZE","","ALL","2010","238.26"
"AZE","","ALL","2011","246.16"
"AZE","","ALL","2012","248.15"
"AZE","","ALL","2013","241.36"
"BEL","","ALL","2000","192.23"
"BEL","","ALL","2001","185.88"
"BEL","","ALL","2002","196.02"
"BEL","","ALL","2003","203.02"
"BEL","","ALL","2004","211.57"
"BEL","","ALL","2005","194.56"
"BEL","","ALL","2006","209.79"
"BEL","","ALL","2007","213.19"
"BEL","","ALL","2008","219.59"
"BEL","","ALL","2009","206.93"
"BEL","","ALL","2010","187.71"
"BEL","","ALL","2011","188.97"
"BEL","","ALL","2012","191.98"
