"TIME","GEO","UNIT","SEX","INDIC_HE","Value","Flag and Footnotes"
"2004","European Union - 27 countries (from 2020)","Year","Males","Healthy life years in absolute value at birth","62.0","e"
"2004","European Union - 27 countries (from 2020)","Year","Males","Life expectancy in absolute value at birth","75.0",""
"2004","European Union - 27 countries (from 2020)","Year","Females","Healthy life years in absolute value at birth","63.7","e"
"2004","European Union - 27 countries (from 2020)","Year","Females","Life expectancy in absolute value at birth","81.5",""
"2004","European Union - 28 countries (2013-2020)","Year","Males","Healthy life years in absolute value at birth","62.2","e"
"2004","European Union - 28 countries (2013-2020)","Year","Males","Life expectancy in absolute value at birth","75.2",""
"2004","European Union - 28 countries (2013-2020)","Year","Females","Healthy life years in absolute value at birth","63.7","e"
"2004","European Union - 28 countries (2013-2020)","Year","Females","Life expectancy in absolute value at birth","81.5",""
"2004","Belgium","Year","Males","Healthy life years in absolute value at birth","58.9",""
"2004","Belgium","Year","Males","Life expectancy in absolute value at birth","76.0",""
"2004","Belgium","Year","Females","Healthy life years in absolute value at birth","58.4",""
"2004","Belgium","Year","Females","Life expectancy in absolute value at birth","81.9",""
"2004","Bulgaria","Year","Males","Healthy life years in absolute value at birth",":",""
"2004","Bulgaria","Year","Males","Life expectancy in absolute value at birth","69.0",""
"2004","Bulgaria","Year","Females","Healthy life years in absolute value at birth",":",""
"2004","Bulgaria","Year","Females","Life expectancy in absolute value at birth","76.2",""
"2004","Czechia","Year","Males","Healthy life years in absolute value at birth",":",""
"2004","Czechia","Year","Males","Life expectancy in absolute value at birth","72.5",""
"2004","Czechia","Year","Females","Healthy life years in absolute value at birth",":",""
"2004","Czechia","Year","Females","Life expectancy in absolute value at birth","79.1",""
"2004","Denmark","Year","Males","Healthy life years in absolute value at birth","68.3",""
"2004","Denmark","Year","Males","Life expectancy in absolute value at birth","75.4",""
"2004","Denmark","Year","Females","Healthy life years in absolute value at birth","69.0",""
"2004","Denmark","Year","Females","Life expectancy in absolute value at birth","80.2",""
