"TIME","GEO","UNIT","INDIC_IL","SEX","AGE","Value","Flag and Footnotes"
"2005","European Union - 27 countries (from 2020)","Percentage","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Total",":",""
"2005","European Union - 27 countries (from 2020)","Percentage","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Total",":",""
"2005","Belgium","Percentage","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","14.1",""
"2005","Belgium","Percentage","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","15.5",""
"2005","Bulgaria","Percentage","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Total",":",""
"2005","Bulgaria","Percentage","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Total",":",""
"2005","Czechia","Percentage","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","9.7","b"
"2005","Czechia","Percentage","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","11.0","b"
"2005","Denmark","Percentage","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","11.6",""
"2005","Denmark","Percentage","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","12.1",""
"2005","Germany (until 1990 former territory of the FRG)","Percentage","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","11.4","b"
"2005","Germany (until 1990 former territory of the FRG)","Percentage","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","12.9","b"
"2005","Estonia","Percentage","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","17.4",""
"2005","Estonia","Percentage","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","19.1",""
"2005","Ireland","Percentage","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Males","Total","18.9",""
"2005","Ireland","Percentage","At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers)","Females","Total","20.6",""
